state,cluster,corr,members,window
ND,8,0.8319078064140537,"['Torticollis', 'Paralysis', 'Amnesia', 'Chills', 'Tinnitus']",2005-02
NE,4,0.7537776177397837,"['Dyslexia', 'Syncope']",2005-02
NH,13,0.5959778928151932,"['Feminization', 'Dyslexia', 'Sneezing']",2005-02
NJ,7,0.6027131716620769,"['Hydrops Fetalis', 'Hemianopsia', 'Body Weight', 'Paresthesia', 'Amaurosis Fugax', 'Confusion', 'Diarrhea']",2005-02
NM,4,0.6930665691786843,"['Shoulder Pain', 'Paresthesia', 'Illusions', 'Headache', 'Labor Pain']",2005-02
NV,6,0.9431684945066264,"['Hoarseness', 'Hypercapnia', 'Cough']",2005-02
NY,9,0.7777572744599047,"['Pallor', 'Dyspepsia']",2005-02
OH,16,0.6561627050700664,"['Sciatica', 'Anomia', 'Myotonia', 'Constipation']",2005-02
OK,4,0.7938580259377782,"['Fatigue', 'Birth Weight']",2005-02
OR,11,0.6499561269657818,"['Renal Colic', 'Emaciation', 'Stupor', 'Fasciculation', 'Angina Pectoris']",2005-02
PA,10,0.6869136447847024,"['Low Back Pain', 'Albuminuria']",2005-02
RI,11,0.7422998000450494,"['Feminization', 'Mutism']",2005-02
SC,10,0.6649933757379708,"['Neuralgia', 'Shoulder Pain']",2005-02
SD,10,0.7156295805330947,"['Deafness', 'Amnesia', 'Chorea', 'Seizures', 'Neck Pain']",2005-02
TN,10,0.6040853219737812,"['Hirsutism', 'Mutism', 'Shoulder Pain', 'Chills', 'Dystonia', 'Albuminuria', 'Anoxia', 'Pallor', 'Muscle Cramp', 'Anisocoria', 'Hemoptysis', 'Paraplegia', 'Miosis', 'Hemiplegia']",2005-02
TX,11,0.6095221512635033,"['Gastroparesis', 'Paraplegia', 'Pseudophakia', 'Jaundice', 'Hearing Loss', 'Fatigue', 'Overweight', 'Anisocoria']",2005-02
UT,3,0.7240728325236424,"['Dysarthria', 'Hemiplegia', 'Arthralgia', 'Paresthesia', 'Muscle Weakness']",2005-02
VA,7,0.5918302334519269,"['Ataxia', 'Pain', 'Sneezing']",2005-02
VT,10,0.6636767958071288,"['Hallucinations', 'Hearing Loss', 'Snoring', 'Aphasia']",2005-02
WA,1,0.7525272920531944,"['Hyperacusis', 'Hirsutism', 'Anomia', 'Hemoglobinuria', 'Ecchymosis']",2005-02
WI,2,0.6485245221970534,"['Muscle Weakness', 'Motion Sickness', 'Amblyopia']",2005-02
WV,5,0.6900449478574128,"['Deafness', 'Tremor', 'Chorea', 'Dyspepsia', 'Anisocoria']",2005-02
WY,9,0.8024648085685571,"['Tics', 'Amnesia', 'Dyslexia', 'Dystonia', 'Hot Flashes']",2005-02
AK,3,0.8547523019549023,"['Gastroparesis', 'Neuralgia']",2005-03
AL,7,0.67097285033738,"['Heartburn', 'Dysarthria', 'Hallucinations', 'Shoulder Pain', 'Blindness', 'Muscular Atrophy', 'Pelvic Pain', 'Tetany', 'Gagging']",2005-03
AR,11,0.7930546243927317,"['Gastroparesis', 'Toothache', 'Muscle Weakness', 'Eye Pain']",2005-03
AZ,5,0.7362943982517056,"['Paresthesia', 'Chorea', 'Miosis', 'Metatarsalgia', 'Dysphonia', 'Sweating Sickness']",2005-03
CA,6,0.6477476399618461,"['Respiratory Sounds', 'Heartburn', 'Reticulocytosis', 'Catatonia', 'Vomiting']",2005-03
CO,13,0.7263195859359861,"['Asthenia', 'Vomiting']",2005-03
CT,16,0.6781446377970252,"['Dyspepsia', 'Body Weight']",2005-03
DC,16,0.6712545929372097,"['Feminization', 'Sleep Disorders', 'Purpura']",2005-03
DE,12,0.6562621648601958,"['Nocturia', 'Birth Weight', 'Hypothermia', 'Ataxia', 'Weight Gain', 'Neck Pain']",2005-03
FL,11,0.6033775635462016,"['Seizures', 'Stuttering']",2005-03
GA,4,0.6991260715964265,"['Hydrops Fetalis', 'Hemianopsia']",2005-03
HI,14,0.6348904707320412,"['Low Back Pain', 'Gastroparesis', 'Pain', 'Abdominal Pain', 'Halitosis', 'Sleep Deprivation', 'Constipation']",2005-03
IA,5,0.7081805962033313,"['Paraplegia', 'Anoxia', 'Metatarsalgia', 'Pruritus', 'Diarrhea']",2005-03
ID,7,0.6484448573139687,"['Weight Loss', 'Shoulder Pain', 'Hallucinations', 'Flushing', 'Edema']",2005-03
IL,14,0.6713320873310539,"['Cachexia', 'Urinary Incontinence', 'Anisocoria', 'Eye Pain']",2005-03
IN,5,0.6933031297304071,"['Weight Loss', 'Heartburn', 'Flatulence', 'Hypoventilation', 'Unconsciousness', 'Coprophagia', 'Cough']",2005-03
KS,11,0.6303722380192321,"['Sleep Disorders', 'Tics', 'Paraplegia', 'Chills', 'Syncope', 'Vomiting', 'Hemiplegia']",2005-03
KY,9,0.6234902022422512,"['Sciatica', 'Stuttering', 'Morning Sickness']",2005-03
LA,10,0.7895059768527095,"['Paraplegia', 'Metatarsalgia', 'Catatonia', 'Proteinuria']",2005-03
MA,3,0.6217931916224745,"['Dysarthria', 'Muscle Weakness', 'Paraplegia']",2005-03
MD,11,0.7115694080363371,"['Dysphonia', 'Mutism', 'Fasciculation', 'Syncope', 'Facial Pain', 'Hyperemesis Gravidarum', 'Hemoglobinuria']",2005-03
ME,6,0.6718076407075659,"['Neuralgia', 'Birth Weight', 'Dyspnea']",2005-03
MI,3,0.7076150002010291,"['Hyperesthesia', 'Echolalia', 'Flatulence', 'Anomia', 'Facial Paralysis', 'Paresis', 'Catatonia', 'Dysmenorrhea', 'Hematemesis']",2005-03
MN,7,0.703294266447477,"['Amnesia', 'Dysmenorrhea', 'Eye Pain']",2005-03
MO,10,0.6676231011025168,"['Catatonia', 'Aphasia', 'Pruritus', 'Acute Coronary Syndrome', 'Chest Pain']",2005-03
MS,3,0.7517588456004194,"['Dysmenorrhea', 'Hemiplegia', 'Aphasia', 'Hoarseness', 'Dystonia', 'Dyspnea']",2005-03
MT,13,0.7175014884634295,"['Dysphonia', 'Flushing', 'Encopresis', 'Chills', 'Pelvic Pain', 'Hearing Loss', 'Gagging', 'Overweight']",2005-03
NC,18,0.6205034506748502,"['Jaundice', 'Birth Weight', 'Proteinuria']",2005-03
ND,8,0.70378481804929,"['Paralysis', 'Sciatica', 'Hypothermia', 'Anorexia', 'Toothache', 'Tinnitus', 'Eye Pain', 'Morning Sickness']",2005-03
NE,14,0.7070408387646395,"['Neuralgia', 'Tics', 'Apnea', 'Constipation']",2005-03
NH,2,0.6822437383535408,"['Dysarthria', 'Paresthesia', 'Ecchymosis', 'Cachexia', 'Hyperventilation', 'Cyanosis', 'Dysphonia', 'Diarrhea']",2005-03
NJ,17,0.6418722906378311,"['Hallucinations', 'Unconsciousness', 'Vomiting', 'Language Disorders', 'Cough']",2005-03
NM,13,0.6509834094638371,"['Gastroparesis', 'Stuttering', 'Hypothermia', 'Syncope', 'Ataxia', 'Hemoptysis']",2005-03
NV,4,0.6646210812281085,"['Syncope', 'Dyspepsia', 'Confusion']",2005-03
NY,19,0.6794395808772251,"['Dyslexia', 'Athetosis', 'Feminization', 'Hyperemesis Gravidarum', 'Persistent Vegetative State']",2005-03
OH,10,0.7352869885587748,"['Obesity', 'Asthenia', 'Amnesia']",2005-03
OK,4,0.7076078673377955,"['Deafness', 'Hirsutism', 'Tetany', 'Seizures', 'Polyuria']",2005-03
OR,7,0.7030034345881034,"['Illusions', 'Coma', 'Stuttering']",2005-03
PA,10,0.7950367747877684,"['Dysuria', 'Scotoma', 'Spasm']",2005-03
RI,5,0.6876056712896164,"['Birth Weight', 'Paralysis', 'Neuralgia']",2005-03
SC,2,0.7411960419492583,"['Dysuria', 'Hemianopsia']",2005-03
SD,1,0.7156295805330947,"['Deafness', 'Amnesia', 'Chorea', 'Seizures', 'Neck Pain']",2005-03
TN,2,0.6173942424785729,"['Weight Loss', 'Aphasia', 'Flatulence']",2005-03
TX,14,0.6272573175918195,"['Phantom Limb', 'Anomia', 'Memory Disorders', 'Snoring', 'Nausea']",2005-03
UT,9,0.6929763078011094,"['Hypothermia', 'Shoulder Pain', 'Hyperventilation', 'Overweight']",2005-03
VA,2,0.6525693595537332,"['Dysarthria', 'Neuralgia', 'Asthenia', 'Tremor']",2005-03
VT,9,0.7035854562246163,"['Hypothermia', 'Sneezing']",2005-03
WA,5,0.6421153095919712,"['Pain', 'Nausea', 'Back Pain']",2005-03
WI,16,0.7004450944393591,"['Torticollis', 'Trismus', 'Emaciation', 'Paresis', 'Oliguria']",2005-03
WV,12,0.669127094832587,"['Low Back Pain', 'Pain', 'Birth Weight', 'Hoarseness', 'Sneezing', 'Aphasia', 'Ataxia', 'Dizziness', 'Overweight']",2005-03
WY,9,0.7395656011005286,"['Tics', 'Amnesia', 'Dyslexia', 'Dystonia', 'Hot Flashes']",2005-03
AK,1,0.7178756247383383,"['Low Back Pain', 'Vertigo', 'Lethargy', 'Pelvic Pain']",2005-04
AL,11,0.7375489795457582,"['Weight Loss', 'Dysmenorrhea']",2005-04
AR,14,0.6184443260897993,"['Tics', 'Dyslexia', 'Chorea', 'Back Pain']",2005-04
AZ,9,0.7309479060542983,"['Jaundice', 'Gastroparesis', 'Arthralgia']",2005-04
CA,10,0.8074802230149495,"['Trismus', 'Hypercalciuria', 'Respiratory Aspiration']",2005-04
CO,4,0.6494564345195749,"['Horner Syndrome', 'Hirsutism', 'Mutism', 'Nocturia', 'Prosopagnosia', 'Stuttering', 'Sarcopenia', 'Halitosis', 'Myotonia', 'Body Weight']",2005-04
CT,3,0.653304521793602,"['Catatonia', 'Sneezing', 'Arthralgia', 'Facial Pain', 'Dysphonia', 'Cough']",2005-04
DC,8,0.6067428481094961,"['Low Back Pain', 'Back Pain', 'Amblyopia']",2005-04
DE,2,0.7592327568951829,"['Shoulder Pain', 'Amnesia', 'Abdominal Pain', 'Pruritus', 'Syncope', 'Nausea', 'Gagging', 'Fever']",2005-04
FL,1,0.6167730048458081,"['Low Back Pain', 'Anomia', 'Athetosis', 'Hyperventilation', 'Hearing Loss']",2005-04
GA,7,0.8394598398406233,"['Cachexia', 'Anomia', 'Hypocapnia', 'Aphonia']",2005-04
HI,9,0.6835183190939215,"['Flushing', 'Dyslexia', 'Birth Weight', 'Prosopagnosia', 'Hemiplegia', 'Polyuria', 'Eye Pain']",2005-04
IA,10,0.6754585950785131,"['Heartburn', 'Chills']",2005-04
ID,6,0.6720103119321259,"['Pain', 'Chills', 'Headache', 'Torticollis', 'Sleep Deprivation', 'Bulimia']",2005-04
IL,19,0.606087419608459,"['Mental Retardation', 'Hirsutism', 'Quadriplegia']",2005-04
IN,14,0.653966760646212,"['Pelvic Pain', 'Anorexia', 'Body Weight']",2005-04
KS,14,0.6194581857339312,"['Hirsutism', 'Angina Pectoris', 'Delirium', 'Amaurosis Fugax', 'Tetany', 'Confusion', 'Arthralgia', 'Eye Pain']",2005-04
KY,10,0.9135034126932686,"['Overweight', 'Hyperalgesia']",2005-04
LA,15,0.7504942420261501,"['Asthenia', 'Coma', 'Tics', 'Agnosia']",2005-04
MA,17,0.708158225901112,"['Gastroparesis', 'Deafness', 'Ataxia', 'Flatulence']",2005-04
MD,10,0.7638293863835495,"['Hiccup', 'Flushing']",2005-04
ME,10,0.8021227648812941,"['Tremor', 'Pelvic Pain']",2005-04
MI,12,0.6497119664323666,"['Hoarseness', 'Deafness', 'Proteinuria']",2005-04
MN,2,0.6680812549197618,"['Dizziness', 'Proteinuria']",2005-04
MO,15,0.6031680145265622,"['Dizziness', 'Fatigue', 'Gagging', 'Angina Pectoris']",2005-04
MS,13,0.6225866714404956,"['Asthenia', 'Abdominal Pain', 'Tetany', 'Flank Pain', 'Miosis', 'Hiccup', 'Bulimia', 'Diplopia']",2005-04
MT,7,0.6806366564343511,"['Illusions', 'Low Back Pain', 'Ataxia', 'Birth Weight']",2005-04
NC,10,0.7026435533244162,"['Illusions', 'Torticollis']",2005-04
ND,7,0.6657060538992466,"['Tics', 'Birth Weight', 'Aphasia', 'Angina Pectoris', 'Diarrhea']",2005-04
NE,15,0.6770635791074481,"['Neuralgia', 'Tics', 'Apnea', 'Constipation']",2005-04
NH,5,0.7486494251576297,"['Syncope', 'Hypercapnia', 'Vomiting', 'Purpura']",2005-04
NJ,13,0.6478719629113046,"['Intermittent Claudication', 'Neuralgia', 'Tremor', 'Mental Retardation', 'Pallor', 'Korsakoff Syndrome', 'Ophthalmoplegia', 'Eye Pain']",2005-04
NM,4,0.8530992484454282,"['Confusion', 'Edema']",2005-04
NV,7,0.6731215676947497,"['Gastroparesis', 'Pelvic Pain', 'Feminization', 'Spasm', 'Eye Pain']",2005-04
NY,9,0.618199565106303,"['Dyskinesias', 'Hyperesthesia', 'Dysuria', 'Flushing', 'Prosopagnosia', 'Pruritus', 'Hyperoxia', 'Presbycusis', 'Hemoptysis']",2005-04
OH,4,0.6853751765105233,"['Deafness', 'Shoulder Pain', 'Amblyopia', 'Jaundice']",2005-04
OK,1,0.8287740590014585,"['Fatigue', 'Birth Weight']",2005-04
OR,9,0.6947858096145568,"['Headache', 'Body Weight', 'Amnesia', 'Diarrhea']",2005-04
PA,19,0.7581103001409187,"['Mutism', 'Anoxia']",2005-04
RI,5,0.6966995643054593,"['Apnea', 'Cough']",2005-04
SC,10,0.8635029031255735,"['Mutism', 'Dysarthria', 'Catatonia', 'Sneezing', 'Pallor']",2005-04
SD,11,0.5914726963980116,"['Pelvic Pain', 'Chest Pain', 'Flushing', 'Anorexia']",2005-04
TN,8,0.7282688104805081,"['Chest Pain', 'Tetany']",2005-04
TX,9,0.6524758999068454,"['Dyskinesias', 'Reticulocytosis', 'Sneezing', 'Ageusia', 'Vomiting', 'Synkinesis', 'Taste Disorders', 'Gagging', 'Persistent Vegetative State', 'Diarrhea']",2005-04
UT,3,0.7463678987415612,"['Pain', 'Stuttering']",2005-04
VA,9,0.7484753884883723,"['Tremor', 'Dysarthria', 'Asthenia']",2005-04
VT,4,0.5810054793140149,"['Gastroparesis', 'Bulimia', 'Heartburn']",2005-04
WA,17,0.671933048459697,"['Dysarthria', 'Muscle Weakness']",2005-04
WI,6,0.7004450944393591,"['Torticollis', 'Trismus', 'Emaciation', 'Paresis', 'Oliguria']",2005-04
WV,15,0.6992285955839497,"['Deafness', 'Anisocoria', 'Flatulence', 'Dyspepsia', 'Cough']",2005-04
WY,12,0.6450055276743711,"['Neuralgia', 'Body Weight', 'Pallor', 'Cough', 'Purpura']",2005-04
AK,6,0.7428030594981707,"['Paralysis', 'Tics', 'Stuttering', 'Torticollis', 'Feminization', 'Dyspepsia']",2005-05
AL,8,0.617231559174188,"['Sleep Disorders', 'Catatonia', 'Cerebellar Ataxia', 'Vomiting', 'Labor Pain', 'Anisocoria']",2005-05
AR,8,0.6850733262976129,"['Coma', 'Bulimia', 'Cough', 'Oliguria', 'Fever']",2005-05
AZ,5,0.6567767271162542,"['Flank Pain', 'Apnea', 'Constipation']",2005-05
CA,21,0.7056457729445677,"['Cachexia', 'Intermittent Claudication', 'Mental Fatigue', 'Pseudobulbar Palsy']",2005-05
CO,7,0.635548834990104,"['Unconsciousness', 'Hypothermia', 'Hearing Loss', 'Hot Flashes', 'Hemiplegia']",2005-05
CT,12,0.6683528833901167,"['Mouth Breathing', 'Gagging', 'Dyslexia', 'Abdominal Pain', 'Agnosia', 'Seizures', 'Korsakoff Syndrome']",2005-05
DC,12,0.6817158435348997,"['Delirium', 'Colic']",2005-05
DE,14,0.6736311333031715,"['Shoulder Pain', 'Amnesia', 'Abdominal Pain', 'Pruritus', 'Syncope', 'Gagging', 'Tinnitus', 'Hemoptysis', 'Fever']",2005-05
FL,10,0.6521321305147525,"['Hyperphagia', 'Dyspnea', 'Ataxia', 'Tetany', 'Toothache', 'Apnea']",2005-05
GA,6,0.8394598398406233,"['Cachexia', 'Anomia', 'Hypocapnia', 'Aphonia']",2005-05
HI,2,0.6496995938948771,"['Hypothermia', 'Myoclonus', 'Obesity', 'Dyspepsia', 'Motion Sickness']",2005-05
IA,12,0.7858512922276937,"['Dysarthria', 'Hallucinations', 'Hyperalgesia', 'Tics']",2005-05
ID,12,0.6049372301720031,"['Heartburn', 'Hypoventilation', 'Labor Pain', 'Dyspepsia']",2005-05
IL,6,0.6653017916340913,"['Paresis', 'Neck Pain']",2005-05
IN,8,0.7033235253608977,"['Low Back Pain', 'Pelvic Pain', 'Body Weight']",2005-05
KS,2,0.720157073809573,"['Mouth Breathing', 'Mutism', 'Hemianopsia', 'Flank Pain', 'Obesity', 'Muscle Cramp', 'Dysgeusia']",2005-05
KY,2,0.7539323308662134,"['Ataxia', 'Earache']",2005-05
LA,2,0.729269421066496,"['Asthenia', 'Coma', 'Tics', 'Agnosia']",2005-05
MA,18,0.7111035635333273,"['Hypothermia', 'Body Weight', 'Facial Pain']",2005-05
MD,14,0.8009557023502795,"['Myokymia', 'Coprophagia', 'Athetosis', 'Tetany', 'Persistent Vegetative State', 'Bulimia']",2005-05
ME,12,0.7059952812492822,"['Hyperalgesia', 'Delirium', 'Hiccup', 'Cyanosis', 'Diarrhea']",2005-05
MI,2,0.6797562582224183,"['Paralysis', 'Aphasia']",2005-05
MN,8,0.6624468628680367,"['Mental Retardation', 'Dystonia', 'Sciatica']",2005-05
MO,12,0.6342958336899074,"['Lethargy', 'Echolalia', 'Horner Syndrome', 'Hypoventilation', 'Chills', 'Coprophagia', 'Anisocoria', 'Bulimia']",2005-05
MS,6,0.7430233553261332,"['Hoarseness', 'Dystonia', 'Dyspnea', 'Aphasia', 'Dysmenorrhea', 'Pelvic Pain', 'Hemiplegia']",2005-05
MT,3,0.6954617990946433,"['Illusions', 'Low Back Pain', 'Ataxia', 'Birth Weight']",2005-05
NC,19,0.691830668875048,"['Urinary Incontinence', 'Learning Disorders', 'Sarcopenia', 'Hiccup', 'Diarrhea']",2005-05
ND,8,0.6776545719006668,"['Headache', 'Fatigue', 'Dyspnea', 'Back Pain']",2005-05
NE,8,0.625876464229953,"['Lethargy', 'Deafness', 'Sleep Disorders', 'Hallucinations', 'Neuralgia', 'Shoulder Pain', 'Amnesia', 'Cachexia', 'Scotoma', 'Constipation']",2005-05
NH,8,0.7198344982252809,"['Coma', 'Coprophagia', 'Chorea', 'Miosis', 'Hot Flashes', 'Gagging']",2005-05
NJ,5,0.6520062774486564,"['Flushing', 'Encopresis', 'Catatonia', 'Headache', 'Photophobia', 'Muscle Cramp', 'Diplopia']",2005-05
NM,4,0.6962148160636162,"['Gagging', 'Tinnitus', 'Chorea']",2005-05
NV,11,0.6549608120431143,"['Hypothermia', 'Flushing', 'Agnosia', 'Aphasia']",2005-05
NY,17,0.7199140390390194,"['Motion Sickness', 'Aphasia', 'Anoxia']",2005-05
OH,10,0.6297048501934307,"['Halitosis', 'Myotonia', 'Hypoventilation']",2005-05
